image,label
"[[[163 172 193]
  [161 175 200]
  [150 171 200]
  ...
  [ 17  12   2]
  [ 16  12   1]
  [ 16  12   1]]

 [[164 173 193]
  [163 177 202]
  [152 173 202]
  ...
  [ 17  12   2]
  [ 16  12   1]
  [ 16  12   1]]

 [[165 174 194]
  [166 180 205]
  [156 178 206]
  ...
  [ 18  12   1]
  [ 17  12   1]
  [ 17  12   1]]

 ...

 [[ 64  71  83]
  [ 65  73  84]
  [ 67  74  86]
  ...
  [ 68  79  92]
  [ 57  69  82]
  [ 30  41  54]]

 [[ 64  72  85]
  [ 64  73  86]
  [ 66  74  87]
  ...
  [ 64  75  89]
  [ 51  62  76]
  [ 21  32  46]]

 [[ 63  72  85]
  [ 64  73  86]
  [ 65  74  87]
  ...
  [ 65  76  89]
  [ 51  62  76]
  [ 21  32  46]]]",0
"[[[ 73  97 121]
  [ 73  97 121]
  [ 74  98 122]
  ...
  [ 71 105 128]
  [ 72 103 128]
  [ 72 102 127]]

 [[ 73  97 121]
  [ 73  97 121]
  [ 74  98 122]
  ...
  [ 73 105 128]
  [ 72 103 127]
  [ 69 100 124]]

 [[ 72  98 122]
  [ 72  98 122]
  [ 73  98 122]
  ...
  [ 76 108 130]
  [ 71 104 125]
  [ 67 100 122]]

 ...

 [[109 138 177]
  [110 139 177]
  [112 140 178]
  ...
  [ 92 136 184]
  [ 80 123 173]
  [ 72 114 167]]

 [[109 138 175]
  [110 139 176]
  [111 140 177]
  ...
  [ 91 135 183]
  [ 84 127 177]
  [ 81 123 175]]

 [[109 138 175]
  [110 139 176]
  [111 140 177]
  ...
  [ 89 132 180]
  [ 88 131 181]
  [ 91 133 185]]]",0
"[[[158 188 199]
  [155 185 196]
  [154 184 195]
  ...
  [195 238 249]
  [195 237 249]
  [194 237 249]]

 [[152 182 193]
  [150 180 191]
  [149 179 190]
  ...
  [192 237 249]
  [190 235 246]
  [188 233 245]]

 [[151 181 191]
  [150 180 191]
  [149 179 190]
  ...
  [187 235 247]
  [186 234 246]
  [186 234 246]]

 ...

 [[129 163 173]
  [ 41  69  79]
  [  1  13  23]
  ...
  [100  85  82]
  [107  86  84]
  [ 36  14  13]]

 [[115 154 165]
  [ 46  76  87]
  [ 57  81  89]
  ...
  [104  89  86]
  [ 82  62  60]
  [ 29   6   5]]

 [[114 157 168]
  [117 152 162]
  [ 94 118 124]
  ...
  [105  90  87]
  [ 62  42  39]
  [ 26   3   1]]]",0
"[[[ 68 110 155]
  [ 71 112 157]
  [ 74 109 157]
  ...
  [174 193 239]
  [177 200 244]
  [174 199 241]]

 [[ 69 111 156]
  [ 71 111 157]
  [ 74 109 158]
  ...
  [200 225 199]
  [180 203 202]
  [198 220 225]]

 [[ 72 114 159]
  [ 71 111 157]
  [ 73 108 157]
  ...
  [ 92 131  76]
  [ 91 126  72]
  [113 147  96]]

 ...

 [[ 60  67 130]
  [ 67  73 138]
  [ 67  72 141]
  ...
  [ 13  25  39]
  [ 16  25  44]
  [ 14  23  43]]

 [[ 62  69 132]
  [ 66  72 138]
  [ 66  70 140]
  ...
  [ 13  25  40]
  [ 12  21  40]
  [  9  18  38]]

 [[ 64  71 134]
  [ 65  71 136]
  [ 64  69 139]
  ...
  [ 13  25  40]
  [ 16  25  44]
  [ 13  22  42]]]",0
"[[[ 48  74  80]
  [ 77 103 109]
  [121 147 153]
  ...
  [ 25  36  44]
  [ 24  35  42]
  [ 23  32  41]]

 [[ 48  72  78]
  [ 49  73  79]
  [ 49  75  81]
  ...
  [ 25  36  44]
  [ 24  35  42]
  [ 24  33  42]]

 [[ 45  69  75]
  [ 49  73  79]
  [ 48  74  80]
  ...
  [ 26  37  45]
  [ 24  35  43]
  [ 24  33  42]]

 ...

 [[  4   2   1]
  [  4   2   1]
  [  4   2   1]
  ...
  [  8   6   5]
  [  8   6   5]
  [  8   6   5]]

 [[  5   2   1]
  [  5   2   1]
  [  4   2   1]
  ...
  [  9   7   6]
  [  9   7   6]
  [  9   7   6]]

 [[  7   1   2]
  [  7   1   2]
  [  6   1   2]
  ...
  [ 10   8   7]
  [ 10   8   8]
  [ 10   7   7]]]",0
"[[[ 76  81 120]
  [ 72  81 119]
  [ 58  72 110]
  ...
  [147 140 112]
  [154 146 117]
  [154 146 116]]

 [[ 75  82 121]
  [ 66  75 113]
  [ 58  72 110]
  ...
  [146 138 111]
  [156 146 118]
  [154 144 114]]

 [[ 77  86 124]
  [ 62  73 112]
  [ 59  76 113]
  ...
  [150 141 114]
  [156 146 118]
  [153 142 112]]

 ...

 [[200 200 200]
  [196 202 200]
  [160 173 181]
  ...
  [225 187 153]
  [224 186 152]
  [223 185 151]]

 [[199 198 198]
  [193 198 196]
  [162 174 182]
  ...
  [225 185 152]
  [225 184 152]
  [224 183 151]]

 [[202 200 200]
  [195 199 198]
  [167 178 186]
  ...
  [227 188 155]
  [230 189 157]
  [228 187 155]]]",0
"[[[ 27  62 106]
  [ 41  67 112]
  [ 45  65 112]
  ...
  [  9 100 155]
  [  7  93 149]
  [  4  85 141]]

 [[ 35  63 108]
  [ 35  64 109]
  [ 44  71 116]
  ...
  [  7  69 141]
  [  8  71 143]
  [  9  74 145]]

 [[ 43  59 106]
  [ 50  67 114]
  [ 53  73 120]
  ...
  [ 13 122 185]
  [ 19 131 194]
  [ 21 137 199]]

 ...

 [[149 136 114]
  [150 138 120]
  [154 138 119]
  ...
  [125 163 187]
  [125 163 187]
  [124 162 186]]

 [[149 136 114]
  [150 138 120]
  [154 138 120]
  ...
  [126 164 188]
  [125 163 187]
  [124 163 187]]

 [[150 137 115]
  [151 139 121]
  [155 139 120]
  ...
  [126 164 188]
  [126 164 188]
  [125 163 187]]]",0
"[[[  3  18  44]
  [  4  18  45]
  [  4  20  46]
  ...
  [  0   1  22]
  [  0   1  22]
  [  0   0  19]]

 [[  3  18  44]
  [  2  17  43]
  [  2  17  43]
  ...
  [  0   3  24]
  [  0   2  24]
  [  0   1  21]]

 [[  4  19  45]
  [  3  18  44]
  [  2  17  43]
  ...
  [  1   3  26]
  [  0   3  24]
  [  0   2  23]]

 ...

 [[  0   1   9]
  [  0   1   9]
  [  0   1   9]
  ...
  [124 109 136]
  [127 108 139]
  [132 107 141]]

 [[  0   1   9]
  [  0   1   9]
  [  0   1   9]
  ...
  [119 104 131]
  [121 104 135]
  [130 105 139]]

 [[  0   1   9]
  [  0   1   9]
  [  0   1   9]
  ...
  [119 104 131]
  [119 103 134]
  [130 107 140]]]",0
"[[[  9   5   2]
  [  9   5   6]
  [  5   4   8]
  ...
  [  3   4  10]
  [  2   5  11]
  [  8  11  20]]

 [[  8   5   5]
  [  6   6   8]
  [  5   7  13]
  ...
  [  7   9  19]
  [ 10  13  22]
  [ 16  21  31]]

 [[  6   5   9]
  [  7  10  15]
  [ 13  17  27]
  ...
  [ 19  24  38]
  [ 28  33  47]
  [ 39  45  60]]

 ...

 [[  5   8  16]
  [ 15  20  30]
  [ 70  75  90]
  ...
  [101 111 143]
  [114 125 156]
  [106 117 147]]

 [[  8  10  20]
  [ 55  59  70]
  [114 117 132]
  ...
  [130 139 163]
  [144 152 176]
  [135 144 168]]

 [[ 33  35  45]
  [100 102 115]
  [143 145 163]
  ...
  [151 158 178]
  [162 170 189]
  [155 162 182]]]",0
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
